	minimum	maximum
GALt1r	0.0	0.0
MANt1r	0.0	0.0
MALt	0.0	0.0
4ABZt	-4.430056049052158e-06	0.0
EX_meoh_e	3.987050444146831e-06	4.430056049052038e-06
MEOHt2	-4.4300560490520555e-06	-3.987050444146831e-06
RAFFINt2	0.0	0.0
RAFFabc	0.0	0.0
PHEMEt	3.987050444146831e-06	4.4300560490520555e-06
ALATRS	0.0	0.0
ARGTRS	0.0	0.0
ASNTRS	0.0	0.0
ASPTRS	0.0	0.0
CYSTRS	0.0	0.0
GLNTRS	0.0	0.0
GLUTRS	0.0	0.0
GLYTRS	0.0	0.0
HISTRS	0.0	0.0
ILETRS	0.0	0.0
LEUTRS	0.0	0.0
LYSTRS	0.0	0.0
METTRS	0.0	0.0
PHETRS	0.0	0.0
PROTRS	0.0	0.0
SERTRS	0.0	0.0
THRTRS	0.0	0.0
TRPTRS	0.0	0.0
TYRTRS	0.0	0.0
VALTRS	0.0	0.0
A1E	0.0	0.0
HEX1	1.5	1.8486666666666596
GLUK_syn	0.0	0.0
PGI	1.5	1.5
G6PI	0.0	0.0
PGMT	-0.1743333333333307	0.0
PFK	0.0	1.4543483413435918
FBA	0.0	1.454348341343592
TPI	1.1928403672426942	1.4543403672427038
GAPD	1.9804420139586334	2.8899890519630356
PGK	-2.8899890519630387	-1.9804420139586227
PGM	-2.8899930390134756	-2.606391308489691
ENO	2.6935619622068274	2.8899930390134765
PYK	0.0	0.522999999999989
PEPCK_re	-1.0466252272846481	-0.11498044580704639
MDH	-0.8909894588971269	0.14930857586980337
FUM	-0.46628736654910474	0.14930857586981797
FRDx	0.0	0.48484494565634784
CS	0.04017316728215642	0.044636852535729576
SUCOAS	0.0	0.01819416533104836
ACONTb	0.04017316728215642	0.044636852535729535
ACONTa	0.04017316728215642	0.04463685253572936
ICDHyr	0.04017316728215642	0.04463685253572941
DRPA	0.0	0.1961250000000055
DRBK	0.0	0.0
PPM2	0.0	0.19612499999999095
TKT2	-0.08528532949412693	-0.01991032949412963
TALA	-1.4595284513654052	-0.005180110021812661
TKT1	-0.07055511002180637	-0.005180110021812661
RPE	-0.15584043951592919	-0.025090439515941837
RPI	-0.15582847836459673	-0.025078478364609396
PRPPS	0.030258588386426304	0.2917605819116287
RBK	0.0	0.5230000000000299
PPM	-0.5230000000000299	0.26150199352522435
ADPRDP	0.0	0.0
ARAI	0.0	0.0
ARABR	0.0	0.0
GALUi	0.0	1000.0
UDPGD	0.0	0.0
GULND	0.0	0.0
UDPGNP	0.0	0.0
CLBH	0.0	0.4782275088164209
GALM	0.0	0.26149999999999674
GALK2	0.0	0.26149999999997653
UDPG4E	0.0	0.0
UGLT	-0.26149999999999574	1000.0
GALT	-1000.0	0.26149999999999707
LACZ	0.0	0.0
EPMGH	0.0	0.0
MELTGH	0.0	0.0
GALIGH	-1000.0	0.2615000000000355
GGLGH	0.0	0.0
GALOR	0.0	0.0
IAGT	0.0	0.26150000000001694
AGMIS	0.0	1000.0
GALS4	0.0	0.0
RAFH	0.0	0.0
GALS3	0.0	0.0
RAFGH	0.0	1000.0
SUCR	0.0	0.0
SBTR	0.0	0.0
HEX4	0.0	0.0
MAN6PI	0.0	0.0
HEX7	0.0	0.0
FBP26	0.0	0.5230000000000703
ALLPI	0.0	0.0
ALLULPE	0.0	0.0
PFK26	0.0	0.5230000000000299
FBA2	0.0	0.0
MALS	0.0	0.0
PGLYCP	0.0	0.0
GF6PTA	0.020561219140465208	0.02284579904496136
ACGAM6PS	0.020561219140465208	0.02284579904496136
ACGAMPM	0.020561219140465208	0.02284579904496136
UAGDP	0.020561219140465208	0.02284579904496136
CHTNDA	0.0	0.0
CHITN1	0.0	0.0
UAG4Ei	0.0	0.0
FCYTOB5OXR_c	-1000.0	0.0
PMANM	0.0	0.0
MAN1PT	0.0	0.0
GMAND	0.0	0.0
GFUCS	0.0	0.0
UDPGLDC	0.0	0.0
XYL14BASE	0.0	0.0
UDPGALM	0.0	0.0
UAPGR	0.0	0.0
PPS	-2.723454410788484	-1.8139073727840378
LDH_D	-1000.0	0.1743333333333652
GLYOX_1	-0.17433333333224255	0.0
GLYOX	0.0	0.1743333333333652
ME1	0.0	0.5229999999999393
ME2	0.0	0.9095470380044232
ACOAH	-0.522999999998192	0.0
ACYP_2	0.0	0.0
ACALD	-1.7772782775975025	-0.7312782775993362
ALCD2y	-0.5229999999981689	0.0
