reaction_id	flux
DHFR	0.0002079179
RNDR4	0.0002034879
DTMPK	0.0002034879
NDP8	0.0002034879
TMDS	0.0002034879
NDPK4	0.0002034879
GMPS2	0.0001160999
GK1	0.0001160999
IMPD	0.0001160999
CTPS2	9.36464e-05
RNTR2	9.07301e-05
RNTR3	7.70876e-05
METAT	1.32902e-05
DB4PS	8.8601e-06
NNATr	8.8601e-06
NADS1	8.8601e-06
NNDPR	8.8601e-06
QULNS	8.8601e-06
ASPO5	8.8601e-06
EX_succ_e	8.8601e-06
RBFSa	8.8601e-06
SUCCt2r	-8.8601e-06
PYDXS	4.4301e-06
ADNK1	4.4301e-06
PYDXPP	4.4301e-06
PYDXOR	4.4301e-06
R_DM_4ahmmp_c	-4.4301e-06
HPYRDC	-4.4301e-06
R_SINK_amob_c	4.4301e-06
R_SINK_dad_5_c	4.4301e-06
GLYCK2	4.4301e-06
PHEMEt	4.4301e-06
MEOHt2	-4.4301e-06
TMPPP	4.4301e-06
THMP	4.4301e-06
HETZK	4.4301e-06
PMPK	4.4301e-06
HMPK4	4.4301e-06
RBFSb	4.4301e-06
4ABZt2r	4.4301e-06
EX_meoh_e	4.4301e-06
R_DM_4mhetz_c	-4.4301e-06
PMDPHT	4.4301e-06
GTPCII2	4.4301e-06
DHPPDA2	4.4301e-06
EX_pheme_e	-4.4301e-06
DHFS	4.4301e-06
HPPK2	4.4301e-06
DHNPA2r	4.4301e-06
AKP1	4.4301e-06
GTPCI	4.4301e-06
MALCOAMT	4.4301e-06
OGMEACPS	4.4301e-06
OGMEACPR	4.4301e-06
OGMEACPD	4.4301e-06
EGMEACPR	4.4301e-06
OPMEACPS	4.4301e-06
OPMEACPR	4.4301e-06
OPMEACPD	4.4301e-06
EPMEACPR	4.4301e-06
PMEACPE	4.4301e-06
AOXSr2	4.4301e-06
AMAOTr	4.4301e-06
DBTS	4.4301e-06
BTS6	4.4301e-06
AHCi	4.4301e-06
HPYRRx	4.4301e-06
NADK1	4.4301e-06
APRAUR	4.4301e-06
EX_4abz_e	-4.4301e-06
DHPS2	4.4301e-06
