reaction_id	flux
TRPAS2	-0.0012116926
TRPS3	0.0012116926
PRAIi	0.0012116926
ANPRT	0.0012116926
ANS	0.0012116926
3OAR180	0.0011812612
AGPAT180	0.0011812612
G3PAT180_1	0.0011812612
EAR180x	0.0011812612
3HAD180	0.0011812612
3OAS180	0.0011812612
TRDR	0.0005579481
RNTR1	0.0002245894
DHFR	0.000186669
NDPK4	0.0001826917
NDP8	0.0001826917
RNDR4	0.0001826917
DTMPK	0.0001826917
TMDS	0.0001826917
IMPD	0.0001042347
GK1	0.0001042347
GMPS2	0.0001042347
CTPS2	8.40759e-05
RNTR2	8.14576e-05
RNTR3	6.92094e-05
METAT	1.19319e-05
ASPO5	7.9546e-06
DB4PS	7.9546e-06
NADS1	7.9546e-06
QULNS	7.9546e-06
RBFSa	7.9546e-06
NNDPR	7.9546e-06
NNATr	7.9546e-06
TMPPP	3.9773e-06
HMPK4	3.9773e-06
PMPK	3.9773e-06
HETZK	3.9773e-06
THMP	3.9773e-06
PYDXS	3.9773e-06
HPYRRx	3.9773e-06
AHCi	3.9773e-06
HPYRDC	-3.9773e-06
PHEMEt	3.9773e-06
MEOHt2	-3.9773e-06
EX_meoh_e	3.9773e-06
4ABZt2r	3.9773e-06
R_DM_4mhetz_c	-3.9773e-06
R_SINK_dad_5_c	3.9773e-06
R_SINK_amob_c	3.9773e-06
R_DM_4ahmmp_c	-3.9773e-06
GLYCK2	3.9773e-06
ADNK1	3.9773e-06
PYDXOR	3.9773e-06
PYDXPP	3.9773e-06
DHFS	3.9773e-06
HPPK2	3.9773e-06
EX_pheme_e	-3.9773e-06
EX_4abz_e	-3.9773e-06
DHNPA2r	3.9773e-06
AKP1	3.9773e-06
GTPCI	3.9773e-06
MALCOAMT	3.9773e-06
OGMEACPS	3.9773e-06
OGMEACPR	3.9773e-06
OGMEACPD	3.9773e-06
EGMEACPR	3.9773e-06
OPMEACPS	3.9773e-06
OPMEACPR	3.9773e-06
OPMEACPD	3.9773e-06
EPMEACPR	3.9773e-06
PMEACPE	3.9773e-06
AOXSr2	3.9773e-06
AMAOTr	3.9773e-06
DBTS	3.9773e-06
BTS6	3.9773e-06
NADK1	3.9773e-06
APRAUR	3.9773e-06
PMDPHT	3.9773e-06
DHPPDA2	3.9773e-06
GTPCII2	3.9773e-06
DHPS2	3.9773e-06
RBFSb	3.9773e-06
