reaction_id	flux
EX_h_e	2.9551458345
ENO	2.9123737811
PGM	-2.9123706052
PGK	-2.9123706052
GAPD	2.9123706052
PPS	-2.4291527726
ADK1	-2.359182578
NGAM	2.27
EX_glc__D_e	-1.5
PGI	1.5
HEX1	1.5
FBA	1.463636099
PFK	1.463636099
TPI	1.4636297472
PFL	1.1131929243
EX_for_e	1.087540278
FORt2	-1.087540278
D_LACt2	-1.0619716908
LDH_D	-1.0619716908
EX_lac__D_e	1.0619716908
ALCD2x	-1.013514567
ETOHt2r	-1.013514567
EX_etoh_e	1.013514567
GLCt1	0.7551828784
GLCt2	0.7448171216
CYS	-0.5642979373
EX_ac_e	0.5642979373
CYSS	0.5642979373
ACt2r	-0.5642979373
SERAT	0.5642979373
PYRDC	0.5220593925
EX_co2_e	0.47967761
CO2t	-0.47967761
ACALD	-0.473853182
PEPCK_re	-0.4597542491
MDH	-0.3443239391
NDPK1	-0.3267107716
ME2	0.3225644005
EX_nh4_e	-0.2377235596
NH4t	0.2377235596
GLUDy	-0.1822701037
NTP3	0.1265530371
PPA	0.0861752829
ASPTA	-0.0764889097
H2Oxt	0.0709414003
HCO3E	0.0532731684
GLNS	0.0529721939
MDHh	0.047483008
MAKht	0.047483008
AGht	-0.047483008
HYDh2	0.047483008
H2td	0.047483008
H2ht	-0.047483008
EX_h2_e	0.047483008
AMTh	-0.047483008
EX_pi_e	-0.0469166227
PIt2r	0.0469166227
MDHx	0.0389414003
MOAAxt	0.0389414003
ASPK	0.0372590426
ASAD	-0.0372590426
HSDy	-0.0372590426
Hxt	-0.0361921766
EX_h2o_e	-0.0348263425
H2Ot	0.0348263425
ACCOAC	0.0327085049
MCOATA	0.0327053291
ASTx	0.032
ICDHyr	0.032
CSx	0.032
ASPxt	0.032
ACONTa	0.032
ACONTb	0.032
CITxt	0.032
Biomass	0.0317589134
SUCCt2r	-0.0280063518
EX_succ_e	0.0280063518
SUCCxt	-0.028
FUMxt	0.028
OSMx	0.028
FTHFLi	0.0256653499
HSK	0.0242157105
THRS	0.0242157105
PRPPS	0.0241025265
AKGxt	0.0210585997
CBPS	0.0205646635
RPE	-0.0199858293
RPI	-0.0199763016
ACLS	0.0196436262
KARA1	-0.0196436262
DHAD1	0.0196436262
THRA	0.0176019925
ORPT	-0.0166445467
NADPHQR	-0.0166445467
OMPDC	0.0166445467
DHORD3	0.0166445467
DHORTS	-0.0166445467
UMPK	0.0166445467
ASPCT	0.0166445467
NDPK2	0.016498667
GF6PTA	0.0163780717
ACGAM6PS	0.0163780717
ACGAMPM	0.0163780717
UAGDP	0.0163780717
TKT2	-0.0158596045
MTHFD	-0.0147138143
MTHFC	-0.0147138143
FUM	-0.013217931
SUCOAS	0.0130433321
SHSL1	0.0130433321
HSST	0.0130433321
ASNS2	0.0121250057
CHORS	0.0117333796
PSCVT	0.0117333796
SHKK	0.0117333796
SHK3Dr	0.0117333796
DHQTi	0.0117333796
DHQS	0.0117333796
DDPA	0.0117333796
r_HAH	0.0109414003
SACCD1	0.0109414003
SADHx	0.0109414003
HCITS	0.0109414003
r_HICITD	0.0109414003
SACCRPxt	0.0109414003
AATA	0.0109414003
LYSLxt	-0.0109414003
AASAD2	0.0109414003
CHORM	0.0107658404
ACHBS	0.0106144589
DHAD2	0.0106144589
ILETA	-0.0106144589
KARI_1	0.0106144589
KARI_23dhmp_1	0.0106144589
CYSTGL	0.0106144589
IPPMIa	-0.0098784118
IPPS	0.0098784118
OMCDC	0.0098784118
LEUTA	-0.0098784118
IPMD	0.0098784118
IPPMIb	-0.0098784118
EX_cys__L_e	-0.0084512462
CYSt2r	0.0084512462
COAxt	-0.0081921766
PALMCL	0.0081921766
HDECtex	0.0081921766
EX_hdec_e	-0.0081921766
GHMT2r	-0.007940533
IMPC	-0.0064840887
AICART	0.0064840887
ADSS	0.0064008571
ADSL1r	0.0064008571
VALTA	-0.0055698619
PPND2	0.0055446817
TYRTA	-0.0055446817
PPNDH	0.0052211586
PHETA1	-0.0052211586
KAS15	0.0051354163
EAR40x	0.0051354163
3OAS60	0.0051354163
3OAR60	0.0051354163
3OAR40	0.0051354163
3HAD40	0.0051354163
3OAS120	0.0051354163
3HAD60	0.0051354163
EAR100x	0.0051354163
3OAR120	0.0051354163
3HAD120	0.0051354163
EAR120x	0.0051354163
3OAS140	0.0051354163
3OAR140	0.0051354163
3HAD140	0.0051354163
EAR140x	0.0051354163
3HAD100	0.0051354163
3OAR100	0.0051354163
3OAS100	0.0051354163
EAR80x	0.0051354163
3HAD80	0.0051354163
3OAR80	0.0051354163
3OAS80	0.0051354163
EAR60x	0.0051354163
ALATA_L	-0.0045914542
PRASCSi	0.0044674469
PRAIC	0.0044674469
ADSL2r	0.0044674469
PRFGCL	0.0044674469
PRFGS	0.0044674469
GARFT	0.0044674469
PPRGL	0.0044674469
GLUPRT	0.0044674469
PRO1y	-0.0042293156
G5SD	0.0042293156
GLU5K	0.0042293156
G5SADs	0.0042293156
DPR	0.0041953525
MOHMT	0.0041953525
DPCOAxt	0.0041921766
ASP1DC	0.0041921766
PNTK	0.0041921766
PANTS	0.0041921766
APPAT	0.0041921766
FA140ACPHi	0.0041921766
NDPK3	0.0041921766
PPCDC	0.0041921766
