reaction_id	flux
EX_h_e	3.2545582654
ENO	2.9561868905
GAPD	2.9561853026
PGM	-2.9561853026
PGK	-2.9561853026
PPS	-2.6828179423
ADK1	-2.647832845
NGAM	2.27
PAPA160	1.6381277263
DAGK160	1.6381277263
EX_glc__D_e	-1.5
PGI	1.5
HEX1	1.5
FBA	1.4818180495
PFK	1.4818180495
TPI	1.4818148736
PFL	1.3090522697
EX_for_e	1.2962259465
FORt2	-1.2962259465
LDH_D	-1.08919967
EX_lac__D_e	1.08919967
D_LACt2	-1.08919967
ETOHt2r	-1.013514567
ALCD2x	-1.013514567
EX_etoh_e	1.013514567
GLCt2	0.8478790202
EX_ac_e	0.6858910365
ACt2r	-0.6858910365
CYS	-0.6858910365
CYSS	0.6858910365
SERAT	0.6858910365
GLCt1	0.6521209798
ACALD	-0.5856403307
PYRDC	0.41907324
EX_h2o_e	-0.389868415
H2Ot	0.389868415
EX_co2_e	0.3665955247
CO2t	-0.3665955247
PEPCK_re	-0.2616355685
NTP3	0.2583903483
MDH	-0.2276619175
ME2	0.1617538201
EX_nh4_e	-0.1188617798
NH4t	0.1188617798
GLUDy	-0.0911350519
AGht	-0.047483008
HYDh2	0.047483008
EX_h2_e	0.047483008
H2td	0.047483008
MAKht	0.047483008
MDHh	0.047483008
H2ht	-0.047483008
AMTh	-0.047483008
SUCCt2r	-0.04529
EX_succ_e	0.04529
PPA	0.0430876415
FUM	-0.0378957896
H2Oxt	0.0354707002
FRDx	0.0312868241
HCO3E	0.0266365842
GLNS	0.026486097
EX_pi_e	-0.0234583114
PIt2r	0.0234583114
MDHx	0.0194707002
MOAAxt	0.0194707002
ASPK	0.0186295213
ASAD	-0.0186295213
HSDy	-0.0186295213
Hxt	-0.0180960883
ACCOAC	0.0163542525
MCOATA	0.0163526645
ASPxt	0.016
ICDHyr	0.016
ACONTb	0.016
CSx	0.016
CITxt	0.016
ASTx	0.016
ACONTa	0.016
Biomass	0.0158794567
ASPTA	-0.0145029509
FUMxt	0.014
SUCCxt	-0.014
OSMx	0.014
FTHFLi	0.012832675
THRS	0.0121078553
HSK	0.0121078553
PRPPS	0.0120512632
AKGxt	0.0105292998
CBPS	0.0102823317
RPE	-0.0099929147
RPI	-0.0099881508
ACLS	0.0098218131
KARA1	-0.0098218131
DHAD1	0.0098218131
THRA	0.0088009963
UMPK	0.0083222734
ASPCT	0.0083222734
ORPT	-0.0083222734
DHORD3	0.0083222734
DHORTS	-0.0083222734
OMPDC	0.0083222734
NADPHQR	-0.0083222734
NDPK2	0.0082493335
UAGDP	0.0081890358
GF6PTA	0.0081890358
ACGAM6PS	0.0081890358
ACGAMPM	0.0081890358
TKT2	-0.0079298022
MTHFD	-0.0073569071
MTHFC	-0.0073569071
HSST	0.006521666
SUCOAS	0.006521666
SHSL1	0.006521666
ASNS2	0.0060625028
SHK3Dr	0.0058666898
CHORS	0.0058666898
PSCVT	0.0058666898
SHKK	0.0058666898
DDPA	0.0058666898
DHQS	0.0058666898
